timestamp,cell_id,region,technology,rsrp_dbm,sinr_db,dl_throughput_mbps,ul_throughput_mbps,prb_utilization_pct,call_drop_rate_pct,handover_success_rate_pct,rrc_setup_success_rate_pct,active_users
2026-08-20,ISB_001,Islamabad,4G,-85.41,10.25,47.38,10.68,65.78,0.88,99.12,97.24,188
2026-08-20,ISB_002,Islamabad,4G,-94.52,10.94,17.59,3.64,95.54,3.56,92.11,98.17,351
2026-08-20,ISB_003,Islamabad,5G,-91.77,17.63,39.6,12.56,52.56,0.54,96.93,97.12,197
2026-08-20,RWP_001,Rawalpindi,5G,-86.96,1.18,14.96,4.45,69.03,1.62,99.02,98.62,97
2026-08-20,RWP_002,Rawalpindi,4G,-114.14,7.17,23.01,15.63,52.77,1.99,93.85,97.75,245
2026-08-20,LHR_001,Lahore,4G,-90.95,19.25,65.97,10.64,51.35,0.97,96.2,99.3,160
2026-08-20,LHR_002,Lahore,5G,-88.98,10.66,76.09,14.81,65.13,0.41,97.75,99.48,244
2026-08-21,ISB_001,Islamabad,4G,-88.12,12.65,46.1,14.74,49.2,0.78,99.14,98.12,136
2026-08-21,ISB_002,Islamabad,4G,-80.04,11.38,15.96,4.87,92.38,3.13,93.21,98.91,447
2026-08-21,ISB_003,Islamabad,5G,-80.86,16.8,40.15,18.62,66.28,0.97,97.19,97.82,120
2026-08-21,RWP_001,Rawalpindi,5G,-88.19,4.37,18.6,3.99,57.52,2.06,99.19,99.44,156
2026-08-21,RWP_002,Rawalpindi,4G,-112.13,5.2,23.51,19.02,60.96,1.66,94.93,98.02,158
2026-08-21,LHR_001,Lahore,4G,-82.76,19.78,58.97,9.51,63.09,1.15,96.58,98.48,235
2026-08-21,LHR_002,Lahore,5G,-88.65,12.12,59.27,16.76,47.04,0.51,99.48,98.82,192
2026-08-22,ISB_001,Islamabad,4G,-81.51,14.51,46.16,8.77,40.74,0.75,98.06,97.02,241
2026-08-22,ISB_002,Islamabad,4G,-94.12,10.67,17.85,6.23,95.46,2.98,91.39,98.51,412
2026-08-22,ISB_003,Islamabad,5G,-88.53,14.24,56.02,16.75,63.57,1.18,96.34,98.13,166
2026-08-22,RWP_001,Rawalpindi,5G,-82.99,2.77,23.2,5.75,44.91,1.58,97.62,99.45,99
2026-08-22,RWP_002,Rawalpindi,4G,-104.17,4.82,15.03,19.12,69.7,2.28,95.71,97.6,182
2026-08-22,LHR_001,Lahore,4G,-83.22,12.85,66.35,16.77,67.42,0.86,97.7,97.53,135
2026-08-22,LHR_002,Lahore,5G,-80.47,15.79,59.4,16.98,42.0,0.78,97.76,99.39,120
2026-08-23,ISB_001,Islamabad,4G,-94.15,15.08,73.31,8.82,42.38,1.06,97.41,99.64,225
2026-08-23,ISB_002,Islamabad,4G,-91.31,15.95,11.31,5.58,93.43,3.64,94.72,97.57,451
2026-08-23,ISB_003,Islamabad,5G,-80.96,10.09,62.95,14.76,43.5,0.74,97.77,97.37,169
2026-08-23,RWP_001,Rawalpindi,5G,-81.79,3.12,20.68,5.77,69.18,2.9,98.14,99.76,247
2026-08-23,RWP_002,Rawalpindi,4G,-112.56,7.17,18.96,18.68,65.98,2.48,95.62,97.59,167
2026-08-23,LHR_001,Lahore,4G,-82.31,10.92,54.06,11.32,40.12,0.97,98.23,97.73,193
2026-08-23,LHR_002,Lahore,5G,-86.72,14.28,35.44,8.9,70.91,1.1,97.91,99.34,229
2026-08-24,ISB_001,Islamabad,4G,-86.71,14.3,36.88,12.38,72.66,1.17,96.14,98.0,143
2026-08-24,ISB_002,Islamabad,4G,-85.0,13.54,18.81,3.1,97.86,4.34,92.33,97.66,395
2026-08-24,ISB_003,Islamabad,5G,-81.04,18.02,73.88,17.73,49.34,0.99,96.38,99.44,200
2026-08-24,RWP_001,Rawalpindi,5G,-91.66,2.11,12.9,6.87,67.84,2.03,96.08,97.54,164
2026-08-24,RWP_002,Rawalpindi,4G,-114.54,6.98,20.19,11.97,40.97,3.07,93.75,98.63,147
2026-08-24,LHR_001,Lahore,4G,-80.24,11.16,75.48,10.28,41.55,0.64,97.82,99.26,130
2026-08-24,LHR_002,Lahore,5G,-89.54,10.7,64.89,11.96,50.99,1.05,98.52,97.84,159
